,1,2,3,4,5,6,7,8,9,10,11,12,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
70,25-34,Male,Denmark,Graduate / Postgraduate,Technology / IT,Rarely / Never,Strongly disagree,Disagree,Disagree,Toys and Games|Electronics and Gadgets,Disagree,Time locking feature. I see something i like but im not able to buy it before a sertain timelimiet (2-3days etc),Yes,4,No,5,Maybe,3,No,2,No,2,No,3,No,3,Yes,4,No,3,Yes,4,No,5,No,4,No,4,No,3,No,3,No,4,No,3,No,4,No,4,Yes,3,No,3
71,25-34,Female,Canada,Part-time Employee,Non-profit / Social Work,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Home and Garden|Toys and Games,Agree,"Rewards for waiting before purchasing something 
A journaling tool that makes you write out the pros and cons of the item before you buy it 
A budget allowance for impulse buys (so that people don't have to go full cold turkey - that could discourage people from using the app) ",Yes,5,Yes,3,Yes,5,No,2,Yes,3,Yes,3,No,3,Yes,4,Yes,1,Yes,4,No,2,No,2,No,4,Yes,4,Yes,4,Yes,4,Yes,3,Yes,5,Maybe,3,Yes,5,Maybe,5
72,18-24,Male,United States,Undergraduate,No industry,Once a month,Disagree,Disagree,Agree,Books and Media|Electronics and Gadgets|Clothing and Accessories,Agree,,Yes,4,No,4,No,2,Yes,4,Yes,4,Yes,4,No,2,Yes,4,Yes,4,Yes,4,No,4,No,2,No,4,No,4,No,4,No,2,Yes,4,Yes,3,Yes,4,Yes,5,Yes,4
73,25-34,Male,Denmark,Graduate / Postgraduate,Technology / IT,Once every three months,Strongly disagree,Neither agree nor disagree,Agree,Electronics and Gadgets|Clothing and Accessories|Sports and Fitness Equipment|Travel and Experiences,Agree,,Yes,3,Yes,5,Yes,4,No,2,Yes,5,Yes,5,No,1,Yes,5,Yes,4,No,5,No,1,No,1,No,1,Yes,3,Yes,4,Yes,2,Yes,3,Yes,3,No,1,Yes,5,Yes,5
74,25-34,Female,Portugal,Self-employed / Business Owner,Technology / IT,Once every three months,Neither agree nor disagree,Agree,Agree,Clothing and Accessories|Health and Beauty Products|Sports and Fitness Equipment,Agree,Gamification,Yes,2,Yes,5,Yes,4,No,2,Yes,3,Yes,2,No,1,Yes,2,Yes,4,Yes,1,No,4,Yes,4,Yes,3,Yes,5,No,3,No,4,No,2,Yes,3,No,2,Yes,2,Yes,2
75,25-34,Prefer not to say,United States,Undergraduate,Technology / IT,Once a month,Agree,Agree,Disagree,Food and Beverages|Clothing and Accessories|Books and Media,Agree,Maybe something that asks if you are sure before buying something,Yes,3,No,4,Yes,3,Yes,2,No,5,Yes,3,No,1,Yes,2,No,2,Yes,2,No,4,No,1,Yes,4,Yes,4,No,2,Yes,5,No,4,No,3,Yes,4,Yes,5,No,4
76,18-24,Male,Canada,Undergraduate,Finance / Accounting,2-3 times a month,Agree,Neither agree nor disagree,Agree,Electronics and Gadgets|Clothing and Accessories|Health and Beauty Products|Food and Beverages,Agree,"Maybe a historical price tracking so that we could wait for the price to drop to the lowest. The more time wait, the less chance we might actually buy it",Yes,3,No,2,No,1,Yes,4,Yes,4,No,2,No,5,Yes,1,Yes,4,Yes,4,No,2,No,1,Yes,2,No,2,No,2,Yes,4,Yes,3,Yes,4,No,1,Yes,2,Yes,2
77,18-24,Female,United States,Freelancer / Gig Worker,No industry,Once a month,Neither agree nor disagree,Agree,Neither agree nor disagree,Clothing and Accessories|Books and Media|Sports and Fitness Equipment,Agree,"I can’t think of any, sometimes I try discussing things I buy or planned to buy with an AI chat bot or something like ask if it would be worth buying and I’ll try to give a reason why I think I should buy it or not, this helps me think more about the purchase. ",Yes,4,Maybe,4,Yes,4,Yes,4,Yes,4,Yes,4,Maybe,2,No,3,Yes,3,Yes,4,No,4,No,4,No,3,Maybe,3,No,4,Yes,3,Yes,4,Maybe,3,Yes,5,Yes,4,Yes,4
78,18-24,Female,Singapore,Undergraduate,No industry,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Disagree,,No,3,No,3,Yes,5,No,4,Yes,4,No,4,Yes,4,No,3,Yes,4,Yes,5,No,3,No,3,Yes,5,Yes,5,Yes,5,No,4,Yes,5,Yes,5,No,2,Yes,5,No,3
79,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once a month,Agree,Agree,Disagree,Clothing and Accessories,Agree,,Yes,2,No,4,Yes,4,Maybe,,Yes,3,Yes,5,No,,Yes,1,Yes,5,Yes,1,No,,No,,No,,No,,No,,Yes,3,No,,No,,Yes,5,No,,No,
81,18-24,Female,United States,Prefer not to say,No industry,Once a week,Neither agree nor disagree,Agree,Strongly agree,Clothing and Accessories|Food and Beverages,Strongly agree,Maybe something that constantly ask the user if they are sure they like the product. Like having them imagine if they would be using for the next 3 years or just for 1 week.,Yes,5,Yes,5,Yes,5,Maybe,1,Yes,5,Yes,5,No,1,No,1,Yes,5,Yes,5,No,1,No,2,Yes,3,Yes,4,Yes,4,Yes,5,Yes,3,Yes,5,No,1,No,1,Yes,3
82,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once a month,Disagree,Agree,Agree,Clothing and Accessories|Books and Media,Agree,,Yes,3,Yes,4,Yes,5,No,3,Yes,4,Yes,4,No,3,Yes,4,No,4,Yes,4,No,3,No,2,Yes,2,Yes,3,No,3,Yes,4,Yes,4,Yes,4,Yes,4,Yes,3,Yes,3
83,25-34,Male,Canada,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Neither agree nor disagree,Agree,,Neither agree nor disagree,,Yes,2,Yes,5,Yes,2,No,1,Yes,3,No,3,Yes,5,No,1,Yes,5,Yes,5,No,5,No,2,No,3,No,5,No,4,No,1,Yes,3,Yes,4,Yes,3,Yes,2,Yes,5
84,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once every three months,Disagree,Neither agree nor disagree,Disagree,Sports and Fitness Equipment|Travel and Experiences,Disagree,,Yes,4,Yes,5,Yes,5,No,4,Yes,5,Yes,3,No,5,Yes,5,Yes,5,Yes,2,No,1,No,2,No,3,No,5,No,2,Yes,5,No,2,Yes,5,No,5,No,2,No,3
85,25-34,Male,Canada,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Disagree,Disagree,Home and Garden|Food and Beverages,Disagree,,Yes,4,Maybe,4,Maybe,3,Yes,1,Yes,5,Yes,4,No,1,Maybe,3,Yes,5,Yes,4,No,1,No,2,No,2,Yes,3,Yes,3,Yes,1,No,2,Yes,4,Maybe,4,Maybe,3,Maybe,2
86,18-24,Female,Czech Republic,Undergraduate,Healthcare / Medical,Rarely / Never,Strongly disagree,Strongly disagree,Neither agree nor disagree,Health and Beauty Products,Strongly disagree,"Multiple phases that one would have to go through to complete a purchase/an app that interrupts purchases with questions like ""is this useful to you/how much do you need this?""",No,2,No,4,No,3,No,2,No,2,No,3,No,4,No,3,No,2,No,3,No,4,No,5,No,,Yes,4,No,1,No,3,No,2,No,3,No,2,No,4,No,3
87,18-24,Male,Denmark,Graduate / Postgraduate,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
88,18-24,Female,Norway,Part-time Employee,Retail / Sales,2-3 times a month,Agree,Neither agree nor disagree,Disagree,Clothing and Accessories|Health and Beauty Products|Travel and Experiences,Agree,,Yes,4,Yes,5,Yes,4,No,1,Yes,4,Yes,3,No,2,No,4,Maybe,3,Maybe,3,No,3,No,2,Maybe,4,Yes,5,Yes,5,Yes,1,Yes,4,Yes,4,No,2,No,3,Maybe,2
89,18-24,Female,United Kingdom,Undergraduate,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,Electronics and Gadgets|Clothing and Accessories,Agree,,Yes,3,Yes,5,Yes,5,Yes,1,Yes,5,Yes,5,No,5,Yes,5,Yes,5,Yes,5,No,5,Yes,5,Yes,3,Yes,5,No,1,Yes,5,Yes,5,Yes,4,Yes,5,Yes,5,Yes,5
90,35-44,Male,Denmark,Full-time Employee,Technology / IT,Once every three months,Strongly disagree,Disagree,Neither agree nor disagree,Food and Beverages,Disagree,,Yes,4,No,3,No,3,No,3,Yes,4,No,3,No,3,Yes,3,Yes,2,Yes,4,No,3,No,3,No,3,Yes,2,Yes,3,No,5,No,3,No,3,Yes,3,No,3,No,3
91,25-34,Female,Hungary,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Neither agree nor disagree,Disagree,Home and Garden,Disagree,Maybe stop bombarding everyone with ads. Or just install ublock origin and get rid of this problem once and for all. It worked for me.,Yes,3,Yes,4,Yes,2,No,3,Yes,4,Yes,5,Yes,5,Yes,5,Yes,4,No,2,Yes,4,No,1,No,1,Yes,1,No,2,Maybe,5,No,3,Yes,4,Yes,4,Yes,5,No,3
92,25-34,Male,Denmark,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,Electronics and Gadgets|Home and Garden|Toys and Games|Books and Media,Neither agree nor disagree,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,Yes,,Maybe,,Yes,,No,,No,,Yes,,No,,Yes,,No,
93,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once every three months,Disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Toys and Games|Books and Media|Travel and Experiences,Disagree,,Yes,4,No,4,No,3,No,1,Yes,4,No,3,No,3,No,3,Yes,5,Yes,4,No,5,No,4,No,4,No,4,No,2,No,4,No,3,Maybe,4,Yes,4,Yes,5,Yes,3
94,18-24,Female,United States,Undergraduate,Hospitality / Service Industry,Once every three months,Disagree,Disagree,Disagree,Health and Beauty Products|Clothing and Accessories,Disagree,n/a,Yes,5,No,1,Yes,4,No,1,Yes,5,Yes,3,No,1,No,1,Yes,4,Yes,4,No,1,No,1,No,1,Yes,5,No,1,Yes,2,No,1,Yes,5,No,1,No,1,No,1
95,25-34,Female,United States,Full-time Employee,Non-profit / Social Work,Rarely / Never,Strongly disagree,Strongly disagree,Neither agree nor disagree,Books and Media|Toys and Games|Home and Garden,Strongly disagree,Notes to self for future purchasing considerations,Yes,5,Yes,3,Yes,2,No,2,Yes,4,Yes,5,Yes,4,Yes,5,Yes,4,Yes,4,No,,No,1,Yes,2,Yes,2,Yes,4,Maybe,3,No,3,Yes,5,Yes,5,Yes,3,No,4
96,25-34,Male,United States,Full-time Employee,Healthcare / Medical,Once every three months,Agree,Agree,Agree,Electronics and Gadgets|Food and Beverages,Agree,,Yes,4,Yes,4,Yes,4,No,3,Yes,5,No,3,No,3,Yes,4,Maybe,4,No,2,No,3,Yes,4,Yes,3,Yes,4,No,2,Yes,4,No,3,No,3,Yes,4,No,4,No,2
97,18-24,Female,Singapore,Graduate / Postgraduate,Arts / Entertainment,2-3 times a month,Agree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Clothing and Accessories,Agree,Not too sure but maybe a feature that reminds you to weigh the pros and cons. Basically something that allows you to reconfirm your decision before purchasing.,Yes,4,Yes,5,Yes,2,No,1,Yes,4,Yes,2,No,2,No,2,Yes,4,Yes,5,Yes,3,No,4,Yes,3,Yes,4,No,1,Yes,4,No,4,Yes,4,Yes,3,Yes,5,Yes,4
98,25-34,Female,Vietnam,Part-time Employee,Education / Academic,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,,Yes,3,Yes,4,Yes,3,Yes,2,Maybe,3,Yes,4,No,4,Yes,4,Yes,3,Yes,4,No,3,No,2,Yes,4,Yes,4,Maybe,2,Yes,4,Maybe,4,Yes,4,Yes,5,Yes,2,No,2
99,18-24,Female,Lithuania,Graduate / Postgraduate,Design / Creative Work,2-3 times a month,Strongly agree,Strongly agree,Disagree,Clothing and Accessories|Home and Garden|Food and Beverages|Books and Media|Travel and Experiences,Agree,Making it very hard and annoying to put card info every time so you couldn't buy things with one click.,No,1,Yes,4,No,2,Yes,4,Yes,4,Yes,5,Yes,5,No,2,Yes,3,No,2,No,1,No,4,Yes,4,Yes,3,No,2,No,4,No,5,No,2,No,2,No,1,No,3
100,25-34,Male,Denmark,Part-time Employee,Technology / IT,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Travel and Experiences,Neither agree nor disagree,,Yes,5,No,1,Yes,5,No,3,Yes,5,Yes,3,No,1,No,3,Yes,5,Yes,5,No,5,No,3,No,3,Yes,3,Yes,3,Yes,3,No,3,Yes,5,Yes,5,No,1,No,1
101,18-24,Female,Denmark,Graduate / Postgraduate,Technology / IT,Once every three months,Agree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories,Disagree,,No,,No,,No,,No,,Yes,4,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,3,No,,Yes,3,No,,No,,No,
102,18-24,Male,United States,Undergraduate,Other,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Clothing and Accessories,Neither agree nor disagree,,Yes,4,Yes,2,No,3,No,3,Yes,5,Yes,4,Yes,3,Yes,4,Yes,5,Yes,5,No,2,No,2,No,2,No,3,No,3,Yes,5,No,2,Yes,4,No,3,Yes,3,No,3
103,25-34,Prefer not to say,United States,Prefer not to say,Education / Academic,Rarely / Never,Disagree,Neither agree nor disagree,Agree,Electronics and Gadgets|Clothing and Accessories|Books and Media,Neither agree nor disagree,,Yes,4,No,,No,,No,,Yes,4,No,,No,,No,,Yes,3,Yes,4,No,,Yes,4,No,,No,,No,,No,,Yes,3,Yes,5,No,,Yes,3,Yes,3
104,18-24,Female,Denmark,Graduate / Postgraduate,No industry,Once every three months,Strongly disagree,Strongly disagree,Disagree,Clothing and Accessories|Health and Beauty Products,Disagree,,Yes,5,Yes,5,Yes,4,Yes,3,Yes,5,No,5,No,4,No,5,Yes,5,Yes,5,No,4,No,3,Maybe,4,Yes,4,Yes,4,Yes,5,No,2,Yes,4,Maybe,3,Maybe,4,Yes,4
105,35-44,Male,United States,Full-time Employee,Technology / IT,Once a month,Disagree,Neither agree nor disagree,Disagree,Books and Media|Electronics and Gadgets|Toys and Games,Neither agree nor disagree,"Blocking of impulse options, especially when looking at items in the store's cart",Yes,2,No,4,Yes,3,No,3,Yes,4,No,4,Yes,2,No,4,Yes,3,No,3,No,4,No,3,No,3,Yes,3,Yes,3,Yes,4,No,4,No,4,No,2,No,3,No,3
106,18-24,Female,United States,Undergraduate,No industry,Once every three months,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Books and Media|Clothing and Accessories,Neither agree nor disagree,no,No,3,No,2,No,3,No,3,No,3,No,3,No,3,No,4,No,3,No,3,Maybe,3,Maybe,2,No,3,No,3,No,3,Yes,3,No,3,No,3,Yes,3,No,3,No,2
107,18-24,Male,Germany,Undergraduate,Technology / IT,Once every three months,Disagree,Neither agree nor disagree,Neither agree nor disagree,Books and Media|Clothing and Accessories|Food and Beverages,Disagree,,Yes,5,Yes,5,Yes,4,Yes,5,Yes,5,No,3,Yes,3,No,5,Yes,5,Yes,5,No,2,No,5,Yes,4,Maybe,4,No,1,Yes,5,Maybe,2,Yes,4,No,3,No,4,Maybe,5
108,25-34,Female,United Kingdom,Full-time Employee,Government / Public Sector,Once every three months,Disagree,Agree,Agree,Home and Garden|Health and Beauty Products,Agree,Block the purchase for a few hours after first attempt to make sure it’s still wanted ,Yes,5,No,,Yes,5,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5,Yes,4,Yes,4,No,,No,,No,,Yes,5,No,,Yes,4,Yes,4,Yes,4,Yes,4,Yes,5,Yes,4
109,45-54,Male,Denmark,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,Books and Media,Strongly disagree,,No,,Yes,4,No,,No,,Yes,5,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110,18-24,Female,United States,Undergraduate,Education / Academic,Rarely / Never,Neither agree nor disagree,Agree,Agree,Clothing and Accessories|Health and Beauty Products|Books and Media,Strongly agree,,Yes,5,Yes,5,No,,No,,Yes,5,Yes,5,No,,No,,Yes,5,No,,No,,Yes,5,No,,No,,No,,No,,No,,Yes,5,Yes,5,Yes,5,No,
111,18-24,Female,Denmark,Undergraduate,Other,Rarely / Never,Disagree,Disagree,Neither agree nor disagree,,Neither agree nor disagree,,Yes,3,Yes,4,No,4,No,2,Yes,4,Yes,3,No,2,Yes,5,Yes,4,Yes,3,No,4,No,2,No,2,Yes,5,No,1,Yes,4,No,3,Yes,4,Maybe,3,No,4,No,3
112,18-24,Female,United States,Undergraduate,Retail / Sales,Rarely / Never,Disagree,Disagree,Agree,Clothing and Accessories,Disagree,"I think a feature that shows people how much money they have while they're shopping (on the tab they are on) and labels it as LOW-HIGH. I think when some people go on an online shopping spree, they are not aware of what is in their bank account because they do not want to be.",Maybe,4,Yes,3,Yes,5,Yes,4,Yes,4,Yes,5,Yes,5,No,2,Maybe,3,Yes,3,Maybe,4,No,1,Yes,5,Yes,5,Yes,3,Yes,5,Yes,4,Yes,4,Yes,5,Yes,3,No,4
113,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once every three months,Disagree,Agree,Agree,Clothing and Accessories|Toys and Games,Disagree,,Yes,3,No,4,No,2,No,2,Yes,5,No,2,No,2,Yes,2,Yes,3,Yes,4,No,1,No,1,No,1,Yes,5,No,1,No,2,No,3,Maybe,3,Yes,4,Yes,4,Yes,2
114,25-34,Female,United States,Full-time Employee,Other,Once a month,Neither agree nor disagree,Strongly agree,Agree,Clothing and Accessories|Health and Beauty Products|Books and Media|Toys and Games,Neither agree nor disagree,Timer to shut down online browsing window,Yes,5,Yes,5,Yes,5,No,1,Yes,5,Yes,3,Yes,4,No,1,Yes,5,Yes,4,No,1,Yes,2,Yes,4,Yes,5,No,1,Yes,5,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4
115,18-24,Male,Denmark,Undergraduate,Technology / IT,Rarely / Never,Disagree,Strongly disagree,Neither agree nor disagree,Travel and Experiences|Electronics and Gadgets,Disagree,,No,2,No,5,Yes,4,No,2,Yes,3,No,1,No,2,Yes,5,No,2,Yes,2,No,3,No,4,No,2,Maybe,3,No,1,Yes,4,No,4,No,2,No,4,Yes,4,No,1
116,35-44,Female,Denmark,Part-time Employee,Government / Public Sector,Once a month,Strongly disagree,Disagree,Disagree,Clothing and Accessories|Food and Beverages,Strongly disagree,Having to type in all credit card information each time (if phone/computer can't save it. Not being able to use Mobilepay. If it is more difficult to pay you think a bit extra about wanting it or not,Yes,4,Yes,4,Yes,4,No,1,No,3,Yes,2,No,5,Yes,2,Yes,4,Yes,3,Yes,4,No,3,No,3,Yes,3,Yes,4,No,3,No,1,Yes,3,No,1,No,3,Yes,1
117,25-34,Male,Denmark,Full-time Employee,Technology / IT,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets,Agree,"Check if I've seen or looked at similar items multiple times, and if not would give a recommendation to rethink",Yes,4,No,3,Yes,4,No,3,Yes,5,Yes,4,No,4,Yes,4,Yes,5,Yes,4,No,3,No,2,No,3,Yes,5,No,3,No,4,No,3,Yes,4,No,4,No,3,Yes,4
118,18-24,Male,Germany,Graduate / Postgraduate,No industry,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly agree,,Yes,4,Yes,4,Yes,4,No,2,Yes,2,No,4,No,2,Yes,4,No,5,No,3,Yes,5,No,3,No,3,Yes,3,Yes,4,Yes,4,No,2,Yes,4,Yes,3,No,2,No,3
119,25-34,Male,Denmark,Undergraduate,Design / Creative Work,Once a month,Agree,Disagree,Disagree,Electronics and Gadgets|Books and Media,Disagree,A delay on how quickly you can buy the product.,Yes,4,No,5,Yes,5,No,1,Yes,5,Yes,5,No,3,Yes,4,Yes,4,No,4,No,5,No,5,No,3,Yes,4,Yes,3,Yes,5,No,4,Yes,4,Yes,3,Yes,4,Yes,5
120,25-34,Female,Germany,Graduate / Postgraduate,Other,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,Toys and Games,Strongly disagree,"Maybe a question that pops up with ""Would you like to check your bank account first?"" before checkout.",Yes,4,No,,Maybe,2,No,,Yes,4,No,,No,,Yes,5,Yes,5,Yes,4,No,,No,,No,,No,,Maybe,3,No,,No,,No,,No,,No,,Yes,4
121,35-44,Male,United States,Full-time Employee,Other,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,"I do NOT shop online, this survey was emailed to me as for EVERYONE, not as for ""only people who shop online"".",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
122,25-34,Male,France,Graduate / Postgraduate,Education / Academic,Rarely / Never,Agree,Strongly agree,Agree,Toys and Games,Neither agree nor disagree,,Yes,3,Yes,4,Yes,2,No,3,Yes,2,No,1,No,1,Yes,4,Yes,3,Yes,2,No,1,No,1,No,2,No,1,No,1,No,4,Yes,3,No,2,No,2,Yes,3,Yes,2
123,25-34,Female,United States,Full-time Employee,Other,Once a month,Disagree,Neither agree nor disagree,Disagree,Books and Media|Food and Beverages|Home and Garden,Disagree,Maybe just a screen before the cart asking if you're sure you want to proceed with the purchase. Those 1-click buy options are predatory.,Yes,4,Yes,5,Yes,4,No,,Yes,2,Yes,3,No,,No,,Yes,3,Yes,5,No,,No,,Yes,4,Yes,2,No,,Yes,4,No,,No,,No,,No,,Yes,4
124,18-24,Female,United Kingdom,Undergraduate,Finance / Accounting,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products|Food and Beverages,Disagree,,Yes,4,No,1,Yes,4,No,2,Yes,3,Yes,5,Yes,3,No,2,Yes,3,Yes,2,No,5,No,1,Yes,3,Yes,2,Yes,4,Yes,4,No,3,Yes,2,Yes,4,Yes,4,No,2
125,45-54,Female,Germany,Self-employed / Business Owner,Technology / IT,Once every three months,Neither agree nor disagree,Strongly agree,Strongly agree,Clothing and Accessories|Health and Beauty Products,Strongly agree,"I find I'm far more likely to impulse purchase when the same thing is shown to me over and over, which happens on Instagram. I just want them to stop. I know I'm being manipulated. ",Yes,4,Yes,4,No,,Yes,1,Yes,3,Yes,4,No,,Yes,1,Yes,3,Yes,3,Yes,4,No,,No,,Yes,2,No,,Yes,4,Yes,1,No,3,Yes,4,Yes,4,Yes,2
126,25-34,Male,Czech Republic,Freelancer / Gig Worker,Technology / IT,Daily,Strongly disagree,Strongly disagree,Strongly disagree,Clothing and Accessories,Strongly disagree,"It would have to reward me money or items for free, because my current purchases are almost free using coupons on chinese websites. Today I bought 20 black keychain carbiners for 0.1euro that is like 0.12dollar shipping included. I'll give some of them to my family members for easy separation from keyring and use others for my many keys.  Every day I get 1$ coupon so my daily purchases range from 0.01$ to 0.25$. And then I also get 100$ in coupons/credits every few months using the chinese apps. I got around 5000$ of items for 60$ so far. I also buy craft materials, craft items and sell them, for example natural stone beads for bracelet craft. Profits are 3000%  on many of these purchases. 

So yeah, if your app does not give me money I do not see it being interesting. I'm in large shopping community and everyone does what I do. The only thing to stop us will be new laws that will make imports insanely expensive, those do exist in some countries already.",Yes,1,Yes,2,Yes,1,Yes,1,Yes,1,Yes,5,Yes,1,Yes,1,Yes,1,Yes,2,Yes,1,Yes,1,Yes,3,Yes,1,Yes,1,Yes,1,Yes,1,Yes,3,Yes,1,Yes,1,Yes,1
127,65+,Female,United States,Undergraduate,Design / Creative Work,Once every three months,Agree,Agree,Disagree,Clothing and Accessories|Health and Beauty Products,Agree,,Yes,3,Yes,3,Yes,3,Yes,3,Yes,4,Yes,1,Yes,5,No,,Yes,4,Yes,3,No,,Yes,2,Yes,4,Yes,4,No,2,Yes,3,No,,Yes,2,Yes,3,No,,Yes,2
128,25-34,Male,Denmark,Undergraduate,Government / Public Sector,Once every three months,Strongly disagree,Strongly disagree,Strongly disagree,Clothing and Accessories,Neither agree nor disagree,,Yes,3,No,2,Yes,4,No,2,No,2,Yes,4,No,2,Yes,1,Yes,3,Yes,4,No,1,No,3,No,1,Yes,4,No,2,Yes,3,Yes,3,No,3,No,1,Yes,5,No,3
129,18-24,Female,Hungary,Full-time Employee,Finance / Accounting,2-3 times a month,Neither agree nor disagree,Agree,Neither agree nor disagree,Health and Beauty Products|Clothing and Accessories|Home and Garden|Books and Media,Agree,,Yes,4,Yes,5,No,5,No,4,Yes,5,Yes,5,Yes,5,Yes,5,No,4,Yes,5,Yes,5,No,2,No,4,No,4,No,4,No,4,Yes,5,No,4,No,4,No,3,Yes,4
130,45-54,Male,Denmark,Full-time Employee,Technology / IT,Once every three months,Disagree,Neither agree nor disagree,Disagree,Toys and Games,Agree,,Yes,5,No,4,No,3,No,4,Yes,5,Yes,5,No,4,Yes,4,Yes,5,No,3,No,4,No,4,No,3,Yes,4,Yes,3,No,4,No,3,Yes,4,Yes,5,Yes,4,No,4
131,18-24,Male,Denmark,Undergraduate,Education / Academic,Rarely / Never,Strongly disagree,Neither agree nor disagree,Strongly disagree,Sports and Fitness Equipment,Neither agree nor disagree,,Yes,3,No,4,No,3,No,2,No,3,No,4,No,2,Yes,4,Yes,5,No,3,No,5,No,1,No,3,Yes,5,Maybe,3,Yes,1,No,1,No,2,No,3,Yes,4,No,4
133,45-54,Male,Germany,Part-time Employee,Education / Academic,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly disagree,Working within a legal framework that protects privacy and guarantees data security? Not being itself a scam to begin with?,Yes,3,No,1,No,1,No,1,Yes,2,No,1,No,1,Yes,5,Yes,3,Yes,5,No,3,No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,Yes,5,No,1
134,18-24,Female,United States,Undergraduate,Education / Academic,Once every three months,Disagree,Disagree,Disagree,Clothing and Accessories|Health and Beauty Products,Disagree,,Yes,3,Yes,4,No,2,No,2,Yes,4,No,3,No,3,No,4,Yes,3,No,2,No,4,No,3,No,4,No,4,No,3,Yes,3,No,3,Yes,3,No,3,No,2,No,2
136,25-34,Female,Norway,Full-time Employee,Design / Creative Work,2-3 times a month,Neither agree nor disagree,Neither agree nor disagree,Agree,Clothing and Accessories,Agree,,Yes,5,Maybe,3,No,2,No,4,Yes,5,No,3,No,2,No,5,Yes,5,Yes,5,No,3,Maybe,3,Yes,3,Yes,4,Yes,5,Yes,3,Yes,4,Yes,4,Maybe,3,Maybe,3,Maybe,3
137,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once a month,Disagree,Neither agree nor disagree,Disagree,Electronics and Gadgets|Clothing and Accessories|Toys and Games|Sports and Fitness Equipment,Agree,,Yes,3,No,4,No,3,No,1,Yes,4,Yes,5,No,1,Yes,4,Yes,5,Yes,4,No,5,No,1,No,3,Yes,4,No,4,No,5,No,3,Yes,3,Yes,4,No,3,No,2
138,18-24,Non-binary / Gender diverse,Romania,Undergraduate,Technology / IT,2-3 times a month,Disagree,Neither agree nor disagree,Strongly disagree,Travel and Experiences|Clothing and Accessories,Disagree,,Yes,4,Yes,4,Yes,4,No,2,Yes,4,Yes,4,Yes,3,Yes,4,Yes,3,Yes,4,No,4,No,2,No,3,No,4,Yes,4,No,4,No,2,Yes,4,Yes,4,Yes,4,No,3
139,25-34,Male,Czech Republic,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,Electronics and Gadgets,Strongly disagree,lol anti-impulse shopping is that actually a thing?,Yes,5,Yes,5,No,3,No,1,No,2,No,1,No,1,No,3,Yes,5,Yes,5,No,2,No,4,No,3,No,3,No,1,Yes,2,No,2,Yes,4,No,1,No,1,No,1
